,0
DLTR,32571468138.234463
ED,32647473145.994907
MTD,32676696157.679764
VICI,32677057514.201782
AME,32706326686.72383
ABC,32755126511.1952
EA,32914758391.721264
CMI,33128515367.36942
AMP,33222517960.669357
ON,33340888400.66537
ILMN,33376598437.233345
KR,33384679446.99186
WBD,33631327454.28494
DHI,33832968826.503517
GEHC,34035269622.369957
OTIS,34076292148.162888
DVN,34720785024.545685
CPRT,34794714778.566826
FIS,35798260872.63918
ODFL,36063673063.88781
BK,36102082360.72102
HSY,36192128741.96602
WELL,36352906674.58382
CARR,36532738113.58664
YUM,36605427803.3269
SPG,36705635367.68615
WMB,36739134644.10834
ROST,37181708962.5176
XEL,37257834978.27393
PCAR,37342644866.150154
HLT,37415490970.945694
LHX,37446240248.52257
NEM,37526256292.755875
CNC,38002148271.172455
COF,38239331652.1531
IQV,38272722154.26549
NUE,38329233873.75557
DOW,38335905597.651855
SYY,38356068937.25704
KMI,38708486549.31265
TEL,39283503187.36688
IDXX,39761645709.74341
PAYX,39877584619.29072
PCG,40156278457.20026
AIG,40407131314.90929
TDG,40501040656.071045
AFL,40541327289.20915
TT,40591157918.68103
STZ,41039132398.64609
EXC,41104117614.159
MSCI,41141418044.23704
TRV,41269729582.483154
BIIB,41314256973.28497
A,41488077187.49289
PH,41960870901.79621
AJG,41976073077.21125
RSG,42023381353.09909
O,42196552150.96817
HES,42564153365.80325
MCHP,42618460152.71115
JCI,42653342302.79839
CTVA,42671894882.435555
ADM,43159059902.01312
ADSK,43187716559.08707
LVS,43897350399.03434
ANET,43905750279.45407
DXCM,44403214595.471725
KMB,44701868791.77443
NXPI,45380128290.65379
PSX,45408140912.99715
CTAS,45521945874.75645
ECL,45748534610.6043
VLO,45749521666.50015
AZO,45756474248.31946
MSI,45849328570.55916
APH,46326327234.154526
AEP,46442948480.30745
ROP,46746278310.5848
D,47033219154.68575
F,47181805179.50262
CMG,47338212072.9094
FTNT,47606663813.2704
MET,47742757215.510826
KHC,47777810686.59707
SRE,47913504011.95367
KDP,48272528912.31043
DG,48357327326.73459
GIS,48526827147.06229
EMR,48633480989.50781
PXD,48820837045.40067
EW,49445846197.63913
MCK,49606384098.863914
GM,50010071602.085976
NSC,50281462894.51229
TFC,50303261910.13225
MAR,50925311298.066124
PSA,51426500527.27501
MPC,52228080785.80689
ORLY,52294815430.83935
FDX,53367548211.274086
KLAC,53763710775.05956
CDNS,53948411506.4158
CHTR,54396098651.05129
OXY,54707603011.96744
PNC,54888198131.19222
MCO,55616152040.500084
MNST,55713528879.906525
EL,55844278952.87406
SNPS,56051578028.14965
CCI,56794340694.6633
FCX,57281946947.35086
MRNA,58779576843.09277
MMM,58806816441.409805
SHW,58860366034.425896
ICE,58879222997.823105
USB,60225441984.999
GD,61596000636.05033
ATVI,61969095523.137436
CSX,62413838790.026375
CL,62546535882.063484
HUM,62820969418.7705
WM,63887798966.98155
APD,63896683655.56796
AON,64347403765.09049
CME,65223269910.86621
EQIX,65910147271.57544
MU,65954443678.73992
ETN,66132209349.22573
LRCX,68140523255.55006
EOG,68868750656.30228
NOC,69538311839.13603
BDX,70110730385.02663
ITW,70384288998.34567
BSX,70536072977.22691
HCA,72047761902.17923
SLB,72206410715.61302
TGT,73900782828.39877
DUK,74472718371.8401
SO,74740104216.55154
ZTS,77671943193.22664
PGR,80191183320.10074
VRTX,80828294103.89488
MO,80918584802.32314
CI,81503286665.49416
REGN,82493259125.97656
PYPL,82613284893.52454
MMC,84070963612.08618
CB,84883414183.49286
TJX,89715319440.29565
ADI,90416147889.54703
ADP,90653174265.73601
NOW,91875168588.61238
C,92677150230.78209
ISRG,92740897204.1516
BKNG,92920323687.87688
MDLZ,94231357773.61699
AMT,95166837544.60677
AMAT,97233287279.27379
GE,98076936222.0666
CVS,100697649700.1281
BLK,101869859759.83002
GILD,101926142606.2056
SYK,104038860176.62746
MDT,110420095683.08078
ELV,111242432244.69054
GS,112107472351.32547
SPGI,112808677032.0559
PLD,113328868078.93124
SCHW,113409248563.38689
DE,116779208915.18839
IBM,117125584682.18379
INTU,117419988230.27083
LMT,117568795332.14449
LOW,118825032820.22691
SBUX,119543620242.3392
AXP,120283595238.37517
INTC,121142909794.02922
UNP,121200964921.70866
BA,124368926041.9312
AMGN,127867744731.46959
COP,127995061592.95175
UPS,130458295587.69585
HON,130831034024.45302
T,131247374764.40271
QCOM,132356025804.68633
AMD,141020325085.57355
RTX,142634024824.37042
BMY,145363941482.93588
NFLX,148913291284.42047
MS,149377366688.74454
NKE,151427190647.7025
PM,151500924937.44965
NEE,153960903233.6435
WFC,156324641866.53897
TXN,156736382265.7436
CMCSA,158966016779.81116
VZ,160960267083.66614
ADBE,165672731652.03207
LIN,168597138787.8818
TMUS,173551279554.7624
ACN,173791982338.79504
CRM,176774664144.86786
DIS,181330427096.90262
ABT,184199714866.9073
DHR,184242855853.10883
CSCO,197431861002.52417
MCD,200755064126.3143
TMO,215065589374.7578
COST,218131618178.65167
PFE,232204692289.79468
PEP,245704849684.31924
BAC,245891285908.04065
ORCL,246242748796.25513
AVGO,257938681919.07333
KO,264996665190.44287
ABBV,267308634545.09183
MRK,279771857500.6637
HD,299447180938.73016
CVX,310172248464.77026
PG,343971005379.9575
LLY,344045624901.71094
MA,345377731856.5106
V,363934863299.80945
WMT,389795545601.7408
JPM,397014132484.3649
JNJ,415491917288.15295
META,430394403723.14514
XOM,443439360892.18286
UNH,452394729251.7896
TSLA,555290227215.6146
GOOG,603115219902.2208
GOOGL,606290606308.4119
NVDA,609208372295.515
AMZN,1037623309394.1831
MSFT,2031796354364.9126
AAPL,2451982353919.6055
